palabras,0,1,2,3,4,5,6,total doc freq
acciones,0.0,0.37084368181261534,0.2434363370671427,0.12014716230978804,0.0,0.07538365542784296,0.0,4.0
activo,0.0,0.0817029965539704,0.019759545213376403,0.10294047163738296,0.08605262366836128,0.01937631042042496,0.028071686547971108,6.0
análisis,0.0,0.0408514982769852,0.18771567952707585,0.2367630847659808,0.17210524733672256,0.07750524168169984,0.028071686547971108,6.0
apertura,0.0,0.18562782577118592,0.15712673338942446,0.07016370294797677,0.111720059988688,0.02201132471582691,0.0,5.0
barras,0.0,0.04640695644279648,0.04489335239697841,0.09355160393063569,0.111720059988688,0.1540792730107884,0.0,5.0
bolsa,0.0,0.0817029965539704,0.6026661290079803,0.28823332058467227,0.4917292781049217,0.13563417294297472,0.14035843273985554,6.0
cierre,0.0,0.2859604879388964,0.14819658910032305,0.08235237730990635,0.13522555147885346,0.01937631042042496,0.028071686547971108,6.0
curso,1.0,0.0,0.10867749867357024,0.02058809432747659,0.049172927810492165,0.11625786252254976,0.16843011928782664,6.0
dinero,0.0,0.0817029965539704,0.009879772606688202,0.061764282982429766,0.11063908757360737,0.0968815521021248,0.028071686547971108,6.0
gráfico,0.0,0.2451089896619112,0.22723476995382866,0.12352856596485953,0.15981201538409953,0.36814989798807424,0.5333620444114511,6.0
gráficos,0.0,0.408514982769852,0.25687408777389326,0.4735261695319616,0.3442104946734451,0.15501048336339968,0.19650180583579777,6.0
indicador,0.0,0.0,0.06734002859546762,0.08185765343930623,0.055860029994344,0.02201132471582691,0.3826703812157964,5.0
indicadores,0.0,0.0,0.011223338099244603,0.05846975245664731,0.09775505249010201,0.08804529886330764,0.2551135874771976,5.0
información,0.0,0.0,0.08968707155105259,0.28034337872283877,0.07971149146418693,0.05025577028522864,0.0,4.0
interpretar,0.0,0.04640695644279648,0.16835007148866907,0.011693950491329461,0.027930014997172,0.0,0.3826703812157964,5.0
inversión,0.0,0.0408514982769852,0.06915840824681742,0.030882141491214883,0.09834585562098433,0.07750524168169984,0.028071686547971108,6.0
invertir,0.0,0.04640695644279648,0.33670014297733813,0.1286334554046241,0.055860029994344,0.06603397414748073,0.0,5.0
líneas,0.0,0.04640695644279648,0.011223338099244603,0.07016370294797677,0.223440119977376,0.02201132471582691,0.0,5.0
mercado,0.0,0.0408514982769852,0.26675386038058146,0.08235237730990635,0.11063908757360737,0.07750524168169984,0.056143373095942216,6.0
mercados,0.0,0.0,0.06406219396503755,0.18689558581522586,0.0,0.02512788514261432,0.14561742664761027,4.0
precio,0.0,0.5310694776008076,0.20747522474045227,0.1955868961110276,0.47943604615229857,0.25189203546552447,0.3649319251236244,6.0
precios,0.0,0.204257491384926,0.039519090426752806,0.13382261312859783,0.2089849431945917,0.03875262084084992,0.028071686547971108,6.0
tendencia,0.0,0.0,0.08978670479395683,0.046775801965317845,0.32119517246747803,0.04402264943165382,0.2232243890425479,5.0
tiempo,0.0,0.2451089896619112,0.06915840824681742,0.11323451880112126,0.15981201538409953,0.03875262084084992,0.056143373095942216,6.0
tipo,0.0,0.0408514982769852,0.05927863564012921,0.07205833014616807,0.03687969585786912,0.03875262084084992,0.08421505964391332,6.0
trading,0.0,0.0,0.011223338099244603,0.5613096235838142,0.027930014997172,0.7924076897697687,0.0956675953039491,5.0
técnico,0.0,0.0408514982769852,0.15807636170701123,0.12352856596485953,0.09834585562098433,0.15501048336339968,0.028071686547971108,6.0
valores,0.0,0.0408514982769852,0.10867749867357024,0.02058809432747659,0.024586463905246082,0.01937631042042496,0.16843011928782664,6.0
vela,0.0,0.1225544948309556,0.15807636170701123,0.030882141491214883,0.049172927810492165,0.07750524168169984,0.08421505964391332,6.0
velas,0.0,0.2859604879388964,0.07903818085350561,0.10294047163738296,0.08605262366836128,0.07750524168169984,0.056143373095942216,6.0
