palabras,0,1,2,3,4,5,total doc freq
bach,0.0,0.732367314313261,0.030803047437825932,0.30649759970698004,0.14783447000221236,0.49305376412830104,5.0
beethoven,0.0,0.22534378901946492,0.030803047437825932,0.30649759970698004,0.34494709667182877,0.2817450080733149,5.0
canciones,0.20386757276864723,0.48811605139199005,0.05337786127273473,0.44260194251362617,0.0426964672193232,0.0610286449156456,6.0
clásica,0.06722682791590492,0.0,0.061606094875651864,0.30649759970698004,0.24639078333702058,0.4226175121099724,5.0
danza,0.13445365583180985,0.22534378901946492,0.24642437950260745,0.0,0.049278156667404115,0.07043625201832872,5.0
mozart,0.1008402418738574,0.22534378901946492,0.061606094875651864,0.30649759970698004,0.0,0.3521812600916436,5.0
música,0.9610899859093369,0.19524642055679603,0.9608015029092251,0.5311223310163514,0.6831434755091712,0.5492578042408104,6.0
piano,0.029123938966949606,0.09762321027839801,0.05337786127273473,0.3540815540109009,0.5550540738512015,0.1220572898312912,6.0
radio,0.0,0.11267189450973246,0.030803047437825932,0.10216586656899335,0.09855631333480823,0.07043625201832872,5.0
tiempo,0.03361341395795246,0.11267189450973246,0.0,0.10216586656899335,0.09855631333480823,0.2113087560549862,5.0
