palabras,0,1,2,3,4,5,6,7,8,total doc freq
actividades,0.07593937622957149,0.19670044872123701,0.0603725176472054,0.04480978601945183,0.0379217298591115,0.006721767050901525,0.08143764305348128,0.14027168132352905,0.0486314562548802,9.0
alguien,0.2581450997859958,0.0,0.0,0.0,0.057293121168677526,0.03554396264120793,0.0,0.12110060024704289,0.07347365023092786,5.0
caracteristicas,0.02575626224724905,0.03335732128020097,0.08190588199446253,0.0,0.05144746073066985,0.5517148026855382,0.07365627321605615,0.0,0.0,6.0
cerebro,0.1290725498929979,0.0,0.4560617331633119,0.0,0.7448105751928078,0.010155417897487981,0.0,0.24220120049408578,0.0,5.0
ejemplo,0.10038976102788727,0.0,0.0,0.0,0.057293121168677526,0.09647647002613582,0.0,0.030275150061760722,0.1102104753463918,5.0
energia,0.12878131123624526,0.16678660640100484,0.0,0.060792313935846415,0.0,0.031917385279328664,0.0,0.027186153627970076,0.06597707818824851,6.0
extroversion,0.03483178437225898,0.4511116601137358,0.036922127818391305,0.16442640241638642,0.046383719331851744,0.09866023226095841,0.0,0.17157240244287644,0.0,7.0
extrovertido,0.41798141246710774,0.12029644269699621,0.11076638345517391,0.21923520322184858,0.13915115799555525,0.04521927311960594,0.0,0.17157240244287644,0.0,7.0
extrovertidos,0.37153903330409577,0.30074110674249055,0.3322991503655217,0.32885280483277285,0.09276743866370349,0.07810601720659208,0.0,0.14706205923675122,0.0,7.0
forma,0.06966356874451796,0.27066699606824146,0.0,0.0,0.046383719331851744,0.028775901076112873,0.03320330931169803,0.04902068641225041,0.2676746344912911,7.0
general,0.037969688114785745,0.049175112180309254,0.0301862588236027,0.17923914407780733,0.0379217298591115,0.010082650576352287,0.05429176203565419,0.08015524647058803,0.1215786406372005,9.0
informacion,0.009492422028696436,0.17211289263108237,0.3622351058832324,0.04480978601945183,0.075843459718223,0.06385678698356449,0.05429176203565419,0.18034930455882306,0.3404201937841614,9.0
introversion,0.09492422028696436,0.41798845353262865,0.0905587764708081,0.08961957203890367,0.075843459718223,0.04033060230540915,0.21716704814261675,0.3005821742647051,0.1215786406372005,9.0
introvertida,0.09443293657633442,0.027178113678579047,0.03336669861903809,0.04953096818097814,0.2515030972302257,0.0,0.060011970079702714,0.13290066685711402,0.40316468672314054,8.0
introvertidas,0.052462742542408014,0.054356227357158095,0.20020019171422854,0.04953096818097814,0.08383436574340855,0.011144963840274445,0.21004189527895947,0.022150111142852338,0.0,8.0
introvertido,0.5410680556356968,0.09835022436061851,0.0603725176472054,0.17923914407780733,0.2654521090137805,0.02352618467815534,0.16287528610696256,0.3606986091176461,0.0729471843823203,9.0
introvertidos,0.4406870373562273,0.19024679575005332,0.3003002875713428,0.2476548409048907,0.12575154861511284,0.06686978304164667,0.09001795511955407,0.4651523339998991,0.0,8.0
mundo,0.09492422028696436,0.07376266827046388,0.0301862588236027,0.04480978601945183,0.1137651895773345,0.006721767050901525,0.08143764305348128,0.12023286970588205,0.1458943687646406,9.0
nivel,0.056954532172178614,0.12293778045077314,0.0905587764708081,0.04480978601945183,0.0379217298591115,0.006721767050901525,0.027145881017827094,0.12023286970588205,0.0486314562548802,9.0
persona,0.07593937622957149,0.07376266827046388,0.1207450352944108,0.04480978601945183,0.1137651895773345,0.016804417627253813,0.24431292916044384,0.16031049294117605,0.5835774750585624,9.0
personalidad,0.08543179825826792,0.12293778045077314,0.0301862588236027,0.22404893009725918,0.3412955687320035,0.08738297166171982,0.05429176203565419,0.2404657394117641,0.0243157281274401,9.0
personas,0.14238633043044652,0.3688133413523194,0.3924213647068351,0.08961957203890367,0.151686919436446,0.07730032108536754,0.7600846684991587,0.34065979749999914,0.1945258250195208,9.0
politica,0.0,0.03335732128020097,0.2047647049861563,0.12158462787169283,0.0,0.6292284526496222,0.11048440982408422,0.0,0.09896561728237277,6.0
privacidad,0.011610594790752993,0.06014822134849811,0.11076638345517391,0.10961760161092429,0.0,0.43574935915256624,0.06640661862339606,0.0,0.1784497563275274,7.0
psicologia,0.052462742542408014,0.027178113678579047,0.0,0.6934335545336939,0.20958591435852142,0.011144963840274445,0.39007780551806764,0.13290066685711402,0.0268776457815427,8.0
sociales,0.037969688114785745,0.2950506730818555,0.1811175529416162,0.1344293580583555,0.075843459718223,0.020165301152704575,0.13572940508913547,0.06011643485294103,0.2188415531469609,9.0
tiempo,0.037969688114785745,0.14752533654092775,0.0603725176472054,0.08961957203890367,0.075843459718223,0.016804417627253813,0.027145881017827094,0.06011643485294103,0.1458943687646406,9.0
utiliza,0.0,0.03335732128020097,0.04095294099723126,0.0,0.0,0.22798132342377617,0.03682813660802808,0.027186153627970076,0.06597707818824851,6.0
vida,0.06439065561812263,0.03335732128020097,0.0,0.18237694180753924,0.1028949214613397,0.027357758810853137,0.0,0.2718615362797008,0.0,6.0
web,0.010492548508481601,0.027178113678579047,0.33366698619038093,0.19812387272391255,0.0,0.029719903574065187,0.12002394015940543,0.022150111142852338,0.26877645781542703,8.0
