palabras,0,1,2,3,4,5,6,7,total doc freq
ajo,0.14064173983139786,0.027993390008242157,0.07357799862893535,0.0,0.0,0.0,0.019173051115647256,0.18027129417205592,5.0
casa,0.14384739958416332,0.019917527547818562,0.29665766145689754,0.005855743832571188,0.05765147800468921,0.03044663418021063,0.2591938918267776,0.06413225526982712,8.0
cebolla,0.23478042596132917,0.02492308959626778,0.09826200318734692,0.021982130238039774,0.0,0.03809831264228816,0.0,0.12037442450599328,6.0
cena,0.156355869113221,0.21909280302600417,0.39263514016354084,0.07026892599085426,0.6918177360562706,0.33491297598231695,0.5593131349946253,0.04809919145237034,8.0
chocolate,0.22370808066568745,0.24489821845687298,0.15604654182306568,0.0392727067031854,0.0,0.034032731179475244,0.09149132691465085,0.017921486744749363,7.0
cocina,0.06879658240981724,0.13942269283472994,0.017450450673935147,0.1522493396468509,0.11530295600937843,0.12178653672084253,0.013641783780356716,0.18438023390075298,8.0
especial,0.06879658240981724,0.1593402203825485,0.08725225336967574,0.017567231497713564,0.11530295600937843,0.0913399025406319,0.04092535134107014,0.00801653190872839,8.0
fuego,0.21096260974709677,0.055986780016484314,0.08584099840042458,0.0,0.0,0.04279168199961947,0.0,0.46194519131589334,5.0
fácil,0.041945265124816396,0.04452694881034055,0.03901163545576642,0.19636353351592703,0.19332553228247618,0.06806546235895049,0.06099421794310057,0.0,7.0
horno,0.23140668628756708,0.11950516528691137,0.15705405606541634,0.029278719162855942,0.17295443401406765,0.06089326836042126,0.054567135121426864,0.09619838290474068,8.0
información,0.0,0.055986780016484314,0.0,0.0905304800256822,0.0,0.04279168199961947,0.019173051115647256,0.2816738971438374,5.0
ingredientes,0.07689965272883005,0.0890538976206811,0.27308144819036495,0.0065454511171975675,0.0,0.10209819353842572,0.07624277242887573,0.026882230117124043,7.0
mezcla,0.1758021747892473,0.027993390008242157,0.19620799634382763,0.0,0.0,0.04279168199961947,0.0,0.10140260297178146,5.0
minutos,0.5449867418466666,0.055986780016484314,0.2820489947442522,0.3127416582705385,0.0,0.0,0.0,0.3943434560013724,5.0
nata,0.08790108739462366,0.11197356003296863,0.2820489947442522,0.0,0.0,0.04279168199961947,0.0,0.07886869120027448,5.0
patatas,0.08389053024963279,0.022263474405170274,0.15604654182306568,0.0196363533515927,0.0,0.10209819353842572,0.015248554485775143,0.053764460234248086,7.0
plato,0.16778106049926558,0.13358084643102164,0.08777617977547446,0.04581815782038297,0.0,0.23822911825632667,0.16773409934352657,0.035842973489498726,7.0
preparar,0.07689965272883005,0.11131737202585137,0.029258726591824817,0.0,0.45109290865911106,0.37436004297422765,0.22872831728662713,0.035842973489498726,7.0
puedes,0.026370326218387096,0.055986780016484314,0.17168199680084917,0.0,0.162054281532912,0.0,0.4218071245442396,0.0,5.0
queso,0.1258357953744492,0.3116886416723838,0.1853052684148905,0.05236360893758054,0.12888368818831744,0.13613092471790098,0.0,0.15233263733036959,7.0
receta,0.1258357953744492,0.1558443208361919,0.029258726591824817,0.0,0.2577673763766349,0.34032731179475245,0.1372369903719763,0.017921486744749363,7.0
recetas,0.11883046052604795,0.637360881530194,0.09597747870664332,0.8959288063833918,0.17295443401406765,0.42625287852294885,0.10913427024285373,0.07214878717855551,8.0
romántica,0.15010163434869217,0.09958763773909281,0.25303153477205964,0.06441318215828307,0.05765147800468921,0.1826798050812638,0.46382064853212834,0.00801653190872839,8.0
sal,0.2660844827561731,0.07476926878880334,0.054590001770748284,0.014654753492026516,0.0,0.0,0.017070160871848802,0.4614352939396409,6.0
salmón,0.09088140777043553,0.13358084643102164,0.25357563046248177,0.06545451117197568,0.06444184409415872,0.44242550533317815,0.015248554485775143,0.0,7.0
salsa,0.16261010387774982,0.318680440765097,0.12215315471754604,0.023422975330284753,0.23060591201875685,0.24357307344168505,0.054567135121426864,0.12024797863092584,8.0
san,0.18782434076906335,0.22430780636641004,0.26203200849959174,0.058619013968106065,0.0,0.0,0.1877717695903368,0.3209984653493154,6.0
tiempo,0.2812834796627957,0.027993390008242157,0.0,0.008230043638698382,0.0,0.0,0.13421135780953078,0.05633477942876748,5.0
valentín,0.18782434076906335,0.22430780636641004,0.22927800743714277,0.058619013968106065,0.0,0.0,0.1877717695903368,0.26081125309631875,6.0
vino,0.11739021298066458,0.02492308959626778,0.1746880056663945,0.0,0.14428025247797382,0.15239325056915265,0.0,0.04012480816866443,6.0
