palabras,0,1,2,3,4,5,6,7,total doc freq
agua,0.03905804655632321,0.16065936797541758,0.0,0.19038817661854784,0.11933874603573802,0.05012191802144565,0.1830563477809638,0.11666250776839665,7.0
aire,0.08744791366008685,0.0749382851193179,0.0,0.07522310253022224,0.40078518819114173,0.05610952858710935,0.0,0.1075522152935346,6.0
casa,0.03905804655632321,0.13388280664618132,0.0,0.24638469915341482,0.03977958201191267,0.2339022841000797,0.31381088191022366,0.10293750685446763,7.0
color,0.11659721821344912,0.11990125619090862,0.0,0.03761155126511112,0.0,0.07481270478281248,0.058549836560370834,0.04609380655437197,6.0
cuidados,0.026038697704215474,0.08032968398770879,0.0,0.011199304506973401,0.03977958201191267,0.18378036607863407,0.05230181365170394,0.08921250594053862,7.0
cuidar,0.07811609311264642,0.12049452598156318,0.0,0.0783951315488138,0.1591183280476507,0.1002438360428913,0.13075453412925986,0.08921250594053862,7.0
directo,0.043723956830043424,0.09741977065511324,0.0,0.03761155126511112,0.04453168757679352,0.0,0.029274918280185417,0.09986991420113928,6.0
facil,0.10202256593676798,0.12739508470284042,0.0,0.07522310253022224,0.04453168757679352,0.03740635239140624,0.0,0.0768230109239533,6.0
flores,0.5402139043280025,0.08417000764656628,0.0,0.0,0.0,0.08402895694241565,0.06576264966758924,0.06902953177117219,5.0
forma,0.05829860910672456,0.0749382851193179,0.0,0.08776028628525927,0.08906337515358705,0.1122190571742187,0.0,0.04609380655437197,6.0
hogar,0.13019348852107737,0.013388280664618132,0.0,0.044797218027893604,0.07955916402382535,0.01670730600714855,0.2876599750843717,0.027450001827858034,7.0
hojas,0.1822708839295083,0.26776561329236265,0.0,0.25758400366038825,0.07955916402382535,0.11695114205003986,0.1830563477809638,0.24705001645072233,7.0
humedad,0.026038697704215474,0.12718866631387227,0.0,0.11199304506973402,0.1591183280476507,0.01670730600714855,0.05230181365170394,0.05490000365571607,7.0
ideal,0.08744791366008685,0.0674444566073861,0.0,0.0626859187751852,0.04453168757679352,0.01870317619570312,0.0,0.06914070983155797,6.0
informacion,0.20404513187353596,0.0,0.0,0.313429593875926,0.04453168757679352,0.01870317619570312,0.1756495096811125,0.007682301092395329,6.0
interior,0.27340632589426245,0.40834256027085303,0.0,0.23518539464644142,0.27845707408338866,0.484511874207308,0.1830563477809638,0.5627250374710897,7.0
invierno,0.05829860910672456,0.11240742767897684,0.0,0.05014873502014816,0.04453168757679352,0.01870317619570312,0.0,0.03841150546197665,6.0
luz,0.07811609311264642,0.22090663096619914,0.0,0.2687833081673616,0.03977958201191267,0.16707306007148554,0.2876599750843717,0.18528751233804175,7.0
natural,0.0,0.06733600611725302,0.0,0.11265321600009191,0.10003518169344862,0.12604343541362348,0.0,0.04314345735698261,5.0
necesita,0.05207739540843095,0.14057694697849038,0.0,0.10079374056276062,0.11933874603573802,0.05012191802144565,0.1830563477809638,0.08921250594053862,7.0
planta,0.26038697704215474,0.515448805587798,0.0,0.27998261267433505,0.23867749207147604,0.2673168961143768,0.31381088191022366,0.2539125169076868,7.0
plantas,0.31246437245058567,0.4284249812677802,0.0,0.30238122168828185,0.6762528942025154,0.6682922402859421,0.6276217638204473,0.6244875415837703,7.0
publicidad,0.05829860910672456,0.007493828511931789,0.0,0.4137270639162223,0.04453168757679352,0.1122190571742187,0.0,0.007682301092395329,6.0
resistente,0.03274023662593955,0.14308901299916266,0.0,0.042244956000034466,0.0,0.06302171770681174,0.0,0.06902953177117219,5.0
resistentes,0.01457465227668114,0.11990125619090862,0.0,0.05014873502014816,0.0,0.13092223336992181,0.029274918280185417,0.09218761310874395,6.0
riego,0.13117187049013027,0.16486422726249936,0.0,0.1253718375503704,0.0,0.0935158809785156,0.058549836560370834,0.06914070983155797,6.0
sol,0.03905804655632321,0.10041210498463599,0.0,0.0783951315488138,0.27845707408338866,0.0334146120142971,0.05230181365170394,0.11666250776839665,7.0
tierra,0.1041547908168619,0.040164841993854394,0.0,0.0671958270418404,0.19889791005956337,0.0334146120142971,0.13075453412925986,0.05490000365571607,7.0
verde,0.013019348852107737,0.09371796465232692,0.0,0.022398609013946802,0.03977958201191267,0.1002438360428913,0.07845272047755592,0.04803750319875156,7.0
web,0.5238437860150328,0.0,1.0,0.4083679080003332,0.05001759084672431,0.0,0.13152529933517848,0.0,5.0
