palabras,0,1,2,3,4,5,6,7,total doc freq
año,0.02729149578914757,0.031025062354752192,0.0,0.0,0.0,0.053401398621584995,0.06332403155087976,0.09512289394180655,5.0
años,0.13606980110609662,0.09040008993196479,0.0,0.22712037477989397,0.0,0.16640526378083073,0.05637868480647689,0.10586233069976052,6.0
convirtió,0.010916598315659028,0.05640920428136762,0.0,0.08503318720409614,0.0,0.1335034965539625,0.0,0.023780723485451637,5.0
cultura,0.034017450276524155,0.017577795264548706,0.0,0.037853395796648995,0.0,0.2139496248610681,0.3946507936453382,0.021172466139952103,6.0
ejército,0.09279108568310174,0.03666598278288895,0.0,0.04251659360204807,0.0,0.08010209793237749,0.0,0.023780723485451637,5.0
febrero,0.01943854301515666,0.10044454436884975,0.0,0.037853395796648995,0.0,0.26149398594130546,0.22551473922590756,0.021172466139952103,6.0
gobierno,0.14737407726139687,0.09589564727832495,0.0,0.08503318720409614,0.0,0.10680279724316999,0.0,0.023780723485451637,5.0
guerra,0.2867185094735607,0.13560013489794714,0.0,0.30282716637319196,0.0,0.07131654162035603,0.11275736961295378,0.10586233069976052,6.0
historia,0.12635052959851828,0.057755613012088605,0.0,0.22712037477989397,0.0,0.2139496248610681,0.3946507936453382,0.5504841196387547,6.0
iván,0.1528323764192264,0.03666598278288895,0.0,0.04251659360204807,0.0,0.0,0.06332403155087976,0.023780723485451637,5.0
muerte,0.049124692420465625,0.022563681712547048,0.0,0.08503318720409614,0.0,0.08010209793237749,0.0,0.14268434091270982,5.0
mundial,0.0764161882096132,0.17204807305817124,0.0,0.1275497808061442,0.0,0.026700699310792497,0.0,0.07134217045635491,5.0
octubre,0.04366639326263611,0.09025472685018819,0.0,0.0,0.0,0.10680279724316999,0.06332403155087976,0.07134217045635491,5.0
país,0.06549958989395416,0.177688993486308,0.0,0.21258296801024038,0.0,0.10680279724316999,0.06332403155087976,0.0,5.0
países,0.0382080941048066,0.05640920428136762,0.0,0.04251659360204807,0.0,0.08010209793237749,0.0,0.047561446970903275,5.0
política,0.11663125809093995,0.03264447691987617,0.0,0.2649737705765429,0.0,0.02377218054011868,0.05637868480647689,0.21172466139952104,6.0
principal,0.09824938484093125,0.08179334620798305,0.0,0.04251659360204807,0.0,0.026700699310792497,0.0,0.023780723485451637,5.0
relaciones,0.010916598315659028,0.022563681712547048,0.0,0.08503318720409614,0.0,0.08010209793237749,0.0,0.047561446970903275,5.0
revolución,0.10916598315659028,0.03948644299695734,0.0,0.08503318720409614,0.0,0.1869048951755475,0.12664806310175952,0.0,5.0
rus,0.22379026547101005,0.10717748813459849,0.0,0.17006637440819228,0.0,0.21360559448633998,0.0,0.7134217045635491,5.0
rusa,0.19924506590535573,0.15066681655327463,0.0,0.037853395796648995,0.0,0.26149398594130546,0.05637868480647689,0.042344932279904206,6.0
rusia,0.6268930122388022,0.8336897182614529,0.0,0.7192145201363309,0.0,0.6893932356634417,0.7329229024841996,0.21172466139952104,6.0
ruso,0.2729149578914757,0.2623027999083595,0.0,0.08503318720409614,0.0,0.1335034965539625,0.0,0.023780723485451637,5.0
siglo,0.20195706883969203,0.10999794834866686,0.0,0.17006637440819228,0.0,0.1869048951755475,0.0,0.09512289394180655,5.0
siglos,0.02729149578914757,0.01974322149847867,0.0,0.04251659360204807,0.0,0.053401398621584995,0.0,0.07134217045635491,5.0
soviética,0.3111230519962823,0.1635866924159661,0.0,0.08503318720409614,0.0,0.10680279724316999,0.18997209465263928,0.0,5.0
tiempo,0.04660349767211249,0.008027122687847813,1.0,0.060501813039354375,1.0,0.03799553493965162,0.045055569992852755,0.016920180620820846,8.0
unión,0.2783732570493052,0.1466639311315558,0.0,0.17006637440819228,0.0,0.10680279724316999,0.06332403155087976,0.0,5.0
vladimir,0.005458299157829514,0.03666598278288895,0.0,0.04251659360204807,0.0,0.1335034965539625,0.0,0.09512289394180655,5.0
época,0.02729149578914757,0.02538414192661543,0.0,0.0,0.0,0.053401398621584995,0.06332403155087976,0.047561446970903275,5.0
