palabras,0,1,2,3,4,5,6,7,total doc freq
animal,0.004104335687587236,0.03675346568651593,0.2042738137953476,0.07971030210734492,0.02975540584095192,0.1160941381278306,0.07188651351747523,0.08980588105368506,8.0
animales,0.0451476925634596,0.0653394945538061,0.11348545210852644,0.053140201404896614,0.02975540584095192,0.26121181078761885,0.07188651351747523,0.11225735131710633,8.0
ano,0.010271628928772284,0.020440063067939815,0.028401196724676184,0.03324755036985021,0.03723336864813709,0.18158783759773864,0.0,0.0,6.0
anos,0.015407443393158428,0.020440063067939815,0.028401196724676184,0.16623775184925105,0.11170010594441127,0.10895270255864317,0.0,0.0,6.0
bengala,0.008208671375174472,0.008167436819225762,0.04539418084341058,0.053140201404896614,0.02975540584095192,0.08707060359587296,0.14377302703495046,0.022451470263421265,8.0
caza,0.00917551360844818,0.022823555803314723,0.02537042263214116,0.11879843128351389,0.033260087868086916,0.06488402906921899,0.0,0.12547936292998021,7.0
contenido,0.1499810156225418,0.1492276171372966,0.0,0.1493733978248453,0.0,0.040791565098638904,0.10103398649235733,0.0,5.0
curiosidades,0.1592102483959704,0.11753036264065393,0.0,0.13299020147940083,0.0,0.2542229726368341,0.35981052625290855,0.19665694073717122,6.0
descubre,0.011537001201733985,0.017218571208149607,0.0,0.6721802902118038,0.0836403693741116,0.040791565098638904,0.0,0.0,5.0
extincion,0.020521678437936182,0.016334873638451524,0.04539418084341058,0.053140201404896614,0.02975540584095192,0.17414120719174592,0.21565954055242567,0.022451470263421265,8.0
felinos,0.022938784021120453,0.05934124508861828,0.07611126789642347,0.059399215641756944,0.06652017573617383,0.06488402906921899,0.0,0.15057523551597626,7.0
hembras,0.015407443393158428,0.010220031533969907,0.0,0.16623775184925105,0.03723336864813709,0.10895270255864317,0.0,0.028093848676738746,6.0
machos,0.030814886786316855,0.010220031533969907,0.0,0.09974265110955062,0.03723336864813709,0.07263513503909545,0.0,0.05618769735347749,6.0
metros,0.017305501802600976,0.045916189888398955,0.0318999686432828,0.0,0.0,0.0,0.10103398649235733,0.09466427424289982,5.0
mundo,0.004104335687587236,0.03675346568651593,0.04539418084341058,0.13285050351224154,0.05951081168190384,0.08707060359587296,0.14377302703495046,0.08980588105368506,8.0
naturaleza,0.02307400240346797,0.017218571208149607,0.28709971778954524,0.0,0.0836403693741116,0.12237469529591671,0.0,0.0,5.0
panthera,0.051916505407802925,0.034437142416299214,0.0,0.037343349456211324,0.0,0.12237469529591671,0.0,0.15777379040483305,5.0
peligro,0.02752654082534454,0.01825884464265178,0.05074084526428232,0.059399215641756944,0.0,0.1622100726730475,0.24106057590695126,0.05019174517199209,7.0
politica,0.7755079841223075,0.7716123808147279,0.028401196724676184,0.06649510073970041,0.0,0.07263513503909545,0.2698578946896814,0.0,6.0
presas,0.015407443393158428,0.03577011036889467,0.028401196724676184,0.09974265110955062,0.0,0.1452702700781909,0.0,0.11237539470695498,6.0
privacidad,0.5649395910824756,0.5672117501353299,0.028401196724676184,0.09974265110955062,0.0,0.036317567519547726,0.08995263156322714,0.0,6.0
puedes,0.00917551360844818,0.01825884464265178,0.02537042263214116,0.17819764692527085,0.06652017573617383,0.032442014534609494,0.0,0.05019174517199209,7.0
rayas,0.030814886786316855,0.02555007883492477,0.0,0.13299020147940083,0.03723336864813709,0.0,0.2698578946896814,0.3652200327976037,6.0
subespecies,0.022938784021120453,0.01825884464265178,0.05074084526428232,0.0,0.06652017573617383,0.1622100726730475,0.0803535253023171,0.07528761775798813,7.0
tamano,0.010271628928772284,0.020440063067939815,0.05680239344935237,0.03324755036985021,0.0,0.1452702700781909,0.0,0.05618769735347749,6.0
territorio,0.011537001201733985,0.011479047472099739,0.0318999686432828,0.0,0.0,0.32633252078911124,0.0,0.031554758080966604,5.0
tigre,0.07387804237657025,0.11434411546916068,0.24966799463875816,0.5048319133465178,0.35706487009142307,0.5224236215752377,0.646978621657277,0.5388352863221104,8.0
tigres,0.11081706356485538,0.10617667864993491,0.862489436024801,0.18599070491713815,0.8926621752285576,0.4643765525113224,0.2875460540699009,0.6286411673757955,8.0
vida,0.0,0.005110015766984954,0.1704071803480571,0.09974265110955062,0.14893347459254835,0.07263513503909545,0.17990526312645427,0.0,6.0
web,0.051916505407802925,0.05165571362444882,0.0,0.11203004836863396,0.0,0.040791565098638904,0.0,0.09466427424289982,5.0
