palabras,0,1,2,3,4,5,6,7,8,total doc freq
aviso,0.0,0.0,0.02374232208416312,0.029197858123689188,0.049875466805381644,0.0,0.04155858174616914,0.0,0.05143444998736396,5.0
columna,0.0,0.0,0.02374232208416312,0.029197858123689188,0.2992528008322899,0.0,0.16623432698467655,0.0,0.4114755998989117,5.0
contenido,0.0,0.0,0.07122696625248937,0.029197858123689188,0.049875466805381644,0.0,0.04155858174616914,0.0,0.05143444998736396,5.0
dolor,0.0,0.0,0.37987715334660993,0.2335828649895135,0.14962640041614494,0.0,0.04155858174616914,0.0,0.05143444998736396,5.0
ejercicio,0.0,0.0,0.7597543066932199,0.08759357437106757,0.7980074688861063,0.0,0.914288798415721,0.0,0.10286889997472792,5.0
ejercicios,0.0,0.0,0.4748464416832624,0.5839571624737837,0.2992528008322899,0.0,0.16623432698467655,0.0,0.5143444998736396,5.0
legal,0.0,0.0,0.04748464416832624,0.029197858123689188,0.049875466805381644,0.0,0.04155858174616914,0.0,0.05143444998736396,5.0
lumbar,0.0,0.0,0.16619625458914183,0.7299464530922297,0.2493773340269082,0.0,0.12467574523850741,0.0,0.3086066999241838,5.0
mejorar,0.0,0.0,0.07122696625248937,0.08759357437106757,0.2493773340269082,0.0,0.04155858174616914,0.0,0.1543033499620919,5.0
privacidad,0.0,0.0,0.04748464416832624,0.08759357437106757,0.09975093361076329,0.0,0.08311716349233828,0.0,0.20573779994945585,5.0
propiocepción,0.0,0.0,0.09496928833665248,0.058395716247378375,0.09975093361076329,0.0,0.24935149047701483,0.0,0.05143444998736396,5.0
web,0.0,0.0,0.02374232208416312,0.2043850068658243,0.09975093361076329,0.0,0.12467574523850741,0.0,0.6172133998483676,5.0
