palabras,0,1,2,3,4,5,6,7,8,total doc freq
actividad,0.054015441735001286,0.0,0.033569768833580316,0.09958580166105527,0.0,0.0,0.0,0.05648857916440417,0.15829920235114242,5.0
adenosina,0.17783615141094777,0.21388469279008632,0.0014447377959011182,0.07285964134092017,0.3726471487213397,0.0,0.1859020679222216,0.013776186126695586,0.0772106258488078,8.0
cafeína,0.6435408136687901,0.5321186136476892,0.02483354320448572,0.34605281410127825,0.700187361286679,0.8913939303088477,0.840911473174826,0.18694605875030348,0.40164371021198736,9.0
café,0.5720362788167024,0.43536977480265476,0.006535142948548874,0.7744991553695275,0.05186573046567993,0.11728867504063786,0.012013021045354656,0.049852282333414266,0.6461224903410232,9.0
cerebral,0.10932538836756668,0.0,0.01119078513620772,0.0403116445697251,0.06343923375329735,0.0,0.05877459689370974,0.01524412441360274,0.042718949049713524,7.0
cerebro,0.25026587198230726,0.24187209711258598,0.005228114358839099,0.14830834890054784,0.12966432616419982,0.046915470016255144,0.012013021045354656,0.1495568470002428,0.01746277000921684,9.0
configuración,0.0,0.07308531239834219,0.20339330528581012,0.14937870249158292,0.0,0.0,0.018149580014161924,0.03765905277626944,0.0,5.0
consumo,0.08938066856510975,0.1934976776900688,0.006535142948548874,0.04943611630018261,0.12966432616419982,0.09383094003251029,0.3363645892699304,0.049852282333414266,0.1746277000921684,9.0
contenido,0.021865077673513336,0.059168859165220765,0.07034207799901995,0.02015582228486255,0.0,0.02869217730362882,0.08816189534056461,0.03048824882720548,0.0,7.0
datos,0.0,0.0,0.9300800659186075,0.024896450415263817,0.039180037291444814,0.0,0.054448740042485774,0.3201019485982903,0.0,5.0
efecto,0.13831700665295937,0.16041351959256472,0.004334213387703355,0.018214910335230042,0.0859954958587707,0.02592925406474854,0.15934462964761853,0.0,0.0386053129244039,8.0
efectos,0.1430090697041756,0.3386209359576204,0.009149200127968424,0.04943611630018261,0.12966432616419982,0.09383094003251029,0.06006510522677328,0.049852282333414266,0.0873138500460842,9.0
ejemplo,0.0,0.0,0.05674281403746654,0.022356246770032968,0.0,0.031824521327081114,0.016297764653241342,0.016908335584975665,0.023691302523269238,6.0
estudios,0.17492062138810668,0.059168859165220765,0.009592101545320902,0.02015582228486255,0.0,0.0,0.10285554456399205,0.01524412441360274,0.36311106692256495,7.0
forma,0.04373015534702667,0.0,0.01119078513620772,0.06046746685458765,0.06343923375329735,0.08607653191088646,0.14693649223427435,0.04573237324080822,0.0,7.0
función,0.10932538836756668,0.059168859165220765,0.009592101545320902,0.0,0.031719616876648676,0.0,0.014693649223427434,0.06097649765441096,0.08543789809942705,7.0
información,0.04373015534702667,0.0,0.05115787490837815,0.1612465782789004,0.0,0.1434608865181441,0.14693649223427435,0.2286618662040411,0.14951632167399737,7.0
política,0.0,0.1775065774956623,0.22381570272415438,0.20155822284862548,0.09515885062994603,0.02869217730362882,0.02938729844685487,0.16768536854963015,0.0,7.0
privacidad,0.0,0.059168859165220765,0.16626309345222898,0.0403116445697251,0.031719616876648676,0.05738435460725764,0.02938729844685487,0.13719711972242465,0.0,7.0
problemas,0.054015441735001286,0.0,0.0,0.024896450415263817,0.0,0.10632164137737497,0.0,0.338931474986425,0.02638320039185707,5.0
publicidad,0.0,0.0,0.03159507654925206,0.09958580166105527,0.07836007458288963,0.0,0.054448740042485774,0.01882952638813472,0.0,5.0
página,0.0,0.0,0.01579753827462603,0.12448225207631909,0.0,0.14176218850316663,0.018149580014161924,0.22595431665761667,0.0,5.0
receptores,0.08746031069405334,0.3550131549913246,0.0,0.1209349337091753,0.44407463627308147,0.0,0.1616301414577018,0.01524412441360274,0.1708757961988541,7.0
salud,0.15807657903195357,0.16041351959256472,0.0028894755918022364,0.018214910335230042,0.2006561570037983,0.23336328658273686,0.0,0.013776186126695586,0.3860531292440391,8.0
servicios,0.0,0.11833771833044153,0.012789468727094537,0.02015582228486255,0.031719616876648676,0.05738435460725764,0.05877459689370974,0.07622062206801371,0.0,7.0
sistema,0.09879786189497099,0.05347117319752158,0.004334213387703355,0.036429820670460085,0.0573303305725138,0.05185850812949708,0.0,0.013776186126695586,0.0772106258488078,8.0
sitio,0.0,0.0,0.005924076852984761,0.07468935124579146,0.0,0.10632164137737497,0.09074790007080961,0.1882952638813472,0.0,5.0
sueño,0.09879786189497099,0.16041351959256472,0.0014447377959011182,0.12750437234661027,0.2006561570037983,0.05185850812949708,0.0,0.02755237225339117,0.0386053129244039,8.0
usuario,0.0,0.0,0.007898769137313015,0.024896450415263817,0.039180037291444814,0.0,0.054448740042485774,0.4142495805389639,0.0,5.0
web,0.0,0.0,0.033569768833580316,0.273860954567902,0.0,0.17720273562895827,0.03629916002832385,0.5837153180321764,0.0,5.0
